Rosmerta ,ESTP,4
Quigley Ogden,ISFJ,5
Orla Krum,INFJ,5
Karkus Kettleburn,ESFP,6
Cho Shacklebolt,INFJ,7
Igor Peverell,ISTP,7
Fat Friar Warbeck,INTJ,6
Gellert McGonagall,ESTJ,4
Peeves MacNair,ISFJ,4
Pansy Purkiss,INTP,7
Evan Kirke,ESFP,6
Phineas Nigellus Hooch,INTJ,4
Susan Helga,ISFP,3
Ivan Dawlish,ISFJ,5
Kevin Doreen,ENFP,7
Ragnok Riddle,ESTP,7
Barnabas the Barmy Lockhart,ISTJ,2
Bartemius Goshawk,ENFP,5
Sirius Thickey,ISFJ,5
Norbert Goldstein,INFP,4
Viktor Cattermole,INFP,6
Augusta Diggory,ENTP,4
Scorpius Pennifold,ISTP,4
Quirinus McLaggen,INTJ,6
Troy Whitby,ISFJ,5
Dilys MacNair,ISFP,3
Padfoot Parkinson,ESTJ,7
Charlie Umbridge,ESFJ,6
Rolanda Skeeter,INTP,6
Quintius Jigger,ESFJ,4
Norbert Hopkirk,ISFP,4
Gladys MacFarlan,ESFP,6
Tenebrus Potter,ESTP,3
Miranda Gryffindor,ISTP,4
Barberus Dumbledore,ISTP,5
Jean Jones,INTJ,3
Bill Kettleburn,ENTP,6
Cuthbert Meliflua,INTJ,7
Bertha Vulchanov,INTP,3
Xenophilius Flamel,ISFP,2
Godric Mostafa,ENTP,4
Scabior Bell,ISTP,7
Helena Podmore,INTP,7
Armando Maxime,INTJ,4
Michael Kettleburn,ISFP,4
Bozo MacFarlan,ESTP,7
Jimmy Gregorovitch,ISFP,3
Ronan Snape,ENTP,2
Sirius Finnigan,ISFP,3
Ptolemy Clearwater,ISFP,2
Fang Lynch,INTJ,2
Yaxley Turpin,ENTJ,2
Victoire Edgecombe,ISTJ,3
Kingsley Delaney-Podmore,ENTJ,6
Michael Hopkirk,INFJ,3
Fleur Diggory,ESTP,6
Trevor Bryce,INFP,5
Demelza Mumps,ISFJ,7
Romilda Karkaroff,ENTJ,6
Karkus Diggory,ISTJ,3
Regulus McClaggen,INTP,2
Neville Umbridge,INTJ,3
Hestia Burbage,ENFJ,4
Kreacher Binns,INTP,3
Madam Poppy Warbeck,ESFJ,7
Nearly Headless Nick MacFarlan,ESFJ,2
Theodore Lovegood,INFP,6
Stan Goyle,INFP,6
Wendelin Sprout,ESFJ,5
Marge Longbottom,ISTJ,2
Peeves Oswald,INTJ,2
Bartemius Gudgeon,ENTJ,4
Marcus Wood,INTJ,3
Rose Kettleburn,INTJ,5
Buckbeak Warbeck,INFP,2
Fred Imago,ESFJ,7
Rubeus Mimsey-Porpington,ESFJ,5
Lavender Nott,INFJ,5
Seamus Bode,ENTP,3
Padfoot Evans,INTP,5
Circe Sprout,ISFP,4
Molly Binns,ISFJ,3
Aurora Pennifold,ESFP,3
Colin Granger,ESTJ,3
Remus Jordan,ENTP,3
Daisy Keddle,ESFJ,3
Snivellus Grunnion,ENFP,2
Jean Lupin,INTJ,4
Patrick Prang,ENFP,7
Garrick Karkaroff,ENFP,5
Arabella Clearwater,ENFJ,6
Irma Mumps,ENTJ,2
Xenophilius Mimsey-Porpington,ISFJ,7
Dedalus Longbottom,ESTJ,5
Amos Zeller,ISFJ,7
Florean Gudgeon,ISFP,2
Ernie Doreen,ISTP,2
Doris Zabini,INTJ,3
Fingal the Fearless Perks,ISFP,5
Fleur Prang,ESFJ,7
Bob Patil,ESTJ,3
Hannah Peakes,ESFP,5
Horace Brown,ESFP,7
Padfoot Bragge,ESTJ,3
Rolanda Grindelwald,ESFJ,4
Winky Jordan,INTP,7
Alastor Sprout,ENTJ,6
Ernie Vulchanov,ISTJ,7
Cuthbert Binns,ESFJ,6
Hepzibah Bagshot,ENFP,6
Amos Jigger,ENFP,5
Prongs Coote,ISTJ,6
Irma Murray,ENTJ,4
Padma Lestrange,ISFJ,7
Penelope Volkov,INFP,4
Kennilworthy Coote,ISFJ,3
Paracelsus Warbeck,ESFP,3
Cedric Krum,INTJ,6
Griselda Polkiss,INTJ,3
Cliodna Fortescue,ESFJ,4
Ptolemy Karkaroff,ISFP,4
Lily Peasegood,ISFJ,5
Livius Warbeck,ENTJ,7
Kendra Quirke,ISTP,2
Troy Carrow,INFP,6
Arthur Corner,ESTJ,4
Lisa Higgs,ENTJ,5
Aurora Ollivander,INFJ,2
Molly Smith,INFP,4
Emmeline Marchbanks,INTJ,2
Alecto Gryffindor,ESTP,3
Ronan Gudgeon,INTJ,5
Elfrida Fletcher,ENTP,7
Alicia Vulchanov,ISFP,2
Dilys Imago,INFJ,7
Aberforth Cresswell,ISFJ,5
Bozo Gryffindor,ENTP,6
Oliver Hopkirk,INFJ,2
Aidan Thicknesse,INTJ,5
Kendra Bragge,ESFP,3
Fat Friar Slinkhard,ENFJ,5
Newton Fudge,ESFP,4
Katie Rosier,ISFP,4
Cliodna Slinkhard,ESTJ,4
Emmeline Doreen,ESTP,3
Violet Sprout,ENFP,4
Fred Fortescue,ENTP,6
Godric Oswald,ESTJ,7
Marvolo Hufflepuff,INFJ,2
Padfoot Cattermole,ISTP,6
Prongs Davies,ESTP,3
Ludo Smith,ISFJ,3
Reginald Cresswell,ESFP,2
MykewÂ Mumps,ENTJ,7
Gladys Longbottom,ESFJ,5
Piers Dedalus,ISTP,6
Dennis Gryffindor,ESTJ,4
Dirk Slytherin,ESFJ,7
Ignotus Kettleburn,ENFJ,4
Inigo Cattermole,ENFJ,7
Rubeus Bode,ISTP,2
Marvolo Riddle,ESFJ,3
Ritchie Ogden,ENFJ,2
Moaning Myrtle Krum,ISFP,4
Firenze Zograf,INFP,4
Gregory the Smarmy Flamel,INTP,4
Charity Grunnion,INFP,7
Rosmerta Grubbly-Plank,ENTJ,4
Troy Peakes,ISTJ,7
Peter Pennifold,ISFJ,5
Lee Quirrell,ESFP,4
Oblansk Zabini,ESFJ,3
Irma Peasegood,ESTJ,3
Bartemius Crouch Junior Grindelwald,INFJ,7
Pansy Figg,ISTP,5
Miranda Shacklebolt,ESTJ,2
Alicia Burbage,ENTP,3
Luna Whitby,ENTP,3
Modesty Dippet,INFP,2
Percy Higgs,ISFJ,2
Bill Doge,ENTJ,5
Nymphadora Davies,INFJ,3
Emmeline Riddle,ESTP,3
Moran Malfoy,INTJ,5
Phyllida Keddle,INTJ,3
Millicent MacMillian,ENFJ,2
Pigwidgeon Bones,ENFJ,5
Kennilworthy Millicent,INFP,3
John Twycross,ESTJ,4
Rose Lynch,INFP,2
Modesty Jigger,ENFJ,5
Roger Elphick,ESTP,7
Griselda Pomfrey,ISFP,2
Muriel Flitwick,ISTJ,7
Helga Vane,ESTJ,3
Fang Sprout,ESTJ,7
Rolanda Kneen,ESFJ,7
Broderick Mumps,ENTJ,3
Morgana Kirke,ENTJ,3
Ludo Jones,ISTP,2
Dedalus Millicent,ISFP,2
Morgana Mimsey-Porpington,ISFP,5
Quintius Volkov,ESTP,7
Scorpius MacMillian,ENTP,2
Demelza Switch,ENFP,3
Orla Finch-Fletchley,ISTJ,2
Hamish Dippet,INTJ,7
Vernon Mimsey-Porpington,INTP,2
Seamus Granger,INFP,7
Seamus Prang,ISTP,6
Charity Kneen,ISFP,2
Phyllida Bryce,ESFJ,5
Hokey Hagrid,ESTP,3
Reginald Timms,ISFJ,3
Terence Perks,ISTJ,3
Silvanus Ivanova,ENTP,4
Moony Ollivander,ESFP,5
Rita Crabbe,ESTJ,4
Justin Gregorovitch,INTJ,7
Pius Slughorn,INTJ,3
Morgana Bode,ISFP,2
Ripper Millicent,ISFP,2
Lisa Lockhart,ENFP,2
Nearly Headless Nick Clearwater,ESTP,6
Cassandra Bulstrode,ISTJ,3
Snuffles Boardman,ENFJ,3
Griselda ,INFJ,4
Rosmerta Flitwick,ISFJ,6
Theodore Bell,INTP,5
Hestia Nott,ENFP,6
Petunia Boardman,ENFP,7
Gregory the Smarmy Mumps,INFJ,4
Neville Grindelwald,ESTJ,7
Tom Murray,INFJ,7
Jean Filch,ESFJ,6
Oliver Boardman,ISTJ,6
Bill Jordan,ESTJ,6
Ernie Weasley,INFJ,3
George Bagshot,INFP,2
Cho Maxime,ENFP,5
Ariana Warrington,ENTP,2
Nagini Pennifold,ENTJ,4
Bertha Jigger,ISFP,7
Troy Umbridge,INTJ,4
Argus Warrington,ENTJ,2
Barnabas the Barmy Dursley,ESTP,6
Silvanus Bragge,ENTJ,3
Fleur Keddle,ESTJ,7
Ginny Johnson,ESTJ,4
Sirius Dumbledore,INFP,2
Severus Polkiss,INFJ,2
Gwendolyn Quirke,ESFP,3
Eunice Jordan,ESFP,6
Doris Finch-Fletchley,ENFJ,5
Hokey Flitwick,INTP,3
Teddy Kneen,ESTJ,2
Bertha Oswald,ESTJ,6
Neville Slinkhard,ENTJ,4
Alicia Hopkirk,INFP,7
Angelina Vulchanov,ISFP,3
Circe Bragge,INTP,2
Padfoot Bryce,ESTP,2
Blaise Black,ESFP,7
Hepzibah Diggle,ESTP,5
Bellatrix McGonagall,ENFP,2
Stubby Warbeck,ENTP,7
Ptolemy Crabbe,INTJ,5
Moony Maxime,ISFP,4
Troy Polkiss,ISTJ,4
Grawp Burbage,ISTP,2
MykewÂ Prince,ESFP,6
Merope Clearwater,ENTJ,5
Blaise Delacour,ESFP,6
Crookshanks Whisp,INFP,3
Evan Cattermole,ESTP,7
Blaise Mimsey-Porpington,ENTJ,3
Kevin Doge,ISFP,3
You-Know-Who MacFarlan,ENFJ,2
Xenophilius Vulchanov,ENFP,4
Fawkes Fudge,ISFJ,4
Travers Dolohov,ISTJ,4
Avery Oswald,INFJ,7
Fleur Clagg,ISFP,6
Hermione Dolohov,ENTP,6
Sirius Oswald,INFJ,5
Lucius Mundungus,ENFJ,4
Bill Goyle,ENTP,3
You-Know-Who Jordan,ISFP,7
Victoire Flint,ENFP,3
Quirinus Whisp,ESTP,2
Katie Flint,ISTP,3
Bloody Baron Slytherin,INTJ,5
Quirinus Switch,ESFJ,2
Rolanda Robins,ESTJ,5
Violet Pince,ISTP,2
Daisy Mimsey-Porpington,ESFJ,4
Madam Poppy McLaggen,ENFJ,2
Nagini MacFarlan,INTP,4
Bloody Baron Fortescue,ENFP,2
Amycus Binns,ENTJ,5
Horace Imago,INTJ,5
Dobby Bell,ENTJ,2
Scabior Ravenclaw,ISTP,5
Magorian Volkov,ENFJ,4
Travers Kettleburn,ENFJ,7
Trevor Mumps,ISFP,4
Barberus Doreen,ENTJ,6
The Grey Lady Perks,ESTP,6
Padma Doge,ENTP,2
Cormac Evans,ISFP,2
Igor Ravenclaw,ENFP,4
Uric Vane,ENTP,4
Lavender Gregorovitch,ISFP,7
Mafalda Pince,ENFJ,2
Olympe McLaggen,ENTP,4
Hengist of Woodcroft Edgecombe,ENFJ,2
Scabbers Dawlish,ESFP,7
Ritchie Murray,ESFP,5
Pigwidgeon Bryce,ISTP,4
Goodwin Meliflua,ENTJ,5
Rolanda Hagrid,ISFP,3
Adalbert Imago,INFP,3
Buckbeak Bode,INFJ,3
Katie Gregorovitch,INTJ,3
Bellatrix Dedalus,ESTJ,2
Elladora Clearwater,ESTP,2
Lily Oswald,ENFJ,3
Severus Figg,ISFP,5
Thomas Peverell,INTP,3
Hokey Fortescue,INTJ,2
Fawkes MacNair,ESFP,7
Dilys Nott,ISFP,2
Hannah Dursley,ISFJ,5
Bartemius Hooch,INFJ,3
Andromeda Zograf,ESFJ,7
Bartemius Crouch Junior Dolohov,ESFJ,2
Norbert Karkaroff,ENFJ,7
Teddy Turpin,ENTP,5
Magorian Fortescue,INTJ,5
Amos Gryffindor,ESTP,7
Irma Purkiss,INTP,4
Ariana Hopkirk,ISFJ,2
Avery Turpin,ESTJ,6
Stan Mostafa,ISFP,7
Quintius Dumbledore,INTP,3
Gabrielle Riddle,INFJ,3
Wendy Hagrid,ENTP,5
Madam Poppy Nott,ENTJ,3
Wilbert Trelawney,ISTJ,4
Norbert Dumbledore,INFJ,2
Troy Derwent,INTP,7
Roger Vector,INTP,3
Pomona Lynch,INFP,6
Agrippa Chang,ENTJ,2
Peeves Millicent,ESTJ,4
Hermione Higgs,ISFP,2
Alicia Zeller,ISFP,3
Kevin Fletcher,ESFJ,3
Ron Peverell,ENTP,5
Rolanda Perks,ESTJ,2
Phyllida Gregorovitch,ENTP,3
